,p.value_thi.ks,p.value_delj.ks,p.value_aj.ks,RSE_thi,RSE_delj,RSE_aj,corr_thi_to_pred_thi,corr_delj_to_pred_delj,corr_aj_to_pred_aj,aj_sign_changed,time_stamp
44,0.9831368772656192,0.469506448503778,0.5830090612540064,0.0094015684368934,0.3513947857818328,0.2243724839650092,0.9969750759050964,0.8278711427284898,0.9095528835678346,0.05,68.7842628955841
45,0.8319696107963263,0.7020569828664881,0.469506448503778,0.0404821793204679,0.7563963390308241,0.2791965479052103,0.9946788871974552,0.5954213726309918,0.8919741440174453,0.12,68.30759572982788
46,0.1745330056980682,0.2111700862512757,0.0363842878749173,0.1062886090179572,0.3983612117157296,0.3808594196496549,0.9906871503211816,0.7834014727330163,0.9249819013981084,0.04,68.42112231254578
47,0.571336004933722,0.7020569828664881,0.1111952605382919,0.0610589406060474,0.4480923189604169,0.4085394037295044,0.9839526248362612,0.7605838026065901,0.8778003945946666,0.07,68.2767984867096
48,0.8319696107963263,0.9084105017744524,0.0539020789312987,0.0510867961384638,0.5533581772259901,0.3848845887185176,0.9934056864165132,0.707468287231005,0.899009500522787,0.06,68.67056918144226
49,0.9831368772656192,0.469506448503778,0.0155771316228776,0.0308684505522946,0.6231353377119077,0.6289644302034613,0.9918627744479016,0.6453147401310728,0.9306994325372754,0.07,68.46089696884155
50,0.9831368772656192,0.8154147124661313,0.0363842878749173,0.0104231998400495,0.2380610108337582,0.2675697031578913,0.9963904395215106,0.877085613418394,0.9415221682984708,0.04,68.41258025169373
51,0.9831368772656192,0.3681877860628609,0.0539020789312987,0.0186564172931494,0.9047512436467766,0.6557810040688705,0.9944328462358404,0.5154650671343297,0.7734286604400402,0.11,68.52152180671692
52,0.9831368772656192,0.9084105017744524,0.0539020789312987,0.0250789341199459,0.3250954974452748,0.3060756667498752,0.9956654594202718,0.8274980221958341,0.9193470866092268,0.03,68.7838499546051
53,0.9831368772656192,0.7020569828664881,0.469506448503778,0.0377373676241129,0.7033652603743371,0.1386820038940969,0.9962029916990388,0.6369094069349042,0.9454266318608824,0.07,68.97152090072632
54,0.9999923931635496,0.9084105017744524,0.3681877860628609,0.0128540580363331,0.4000906350850351,0.2349204935021183,0.9959877241618722,0.7929452659621553,0.9361046426543242,0.06,68.80536985397339
55,0.9999923931635496,0.8154147124661313,0.2819416298082479,0.0128179022716498,0.2669214733440955,0.2775605192365836,0.9948657807437076,0.8577659404568332,0.908355873223921,0.03,68.57564163208008
56,0.8319696107963263,0.9084105017744524,0.0782211579784185,0.0355485659870521,0.878476832224019,0.3479358711662031,0.9949564344648124,0.5377144814255501,0.8857325868218168,0.12,68.83835864067078
57,0.9831368772656192,0.9084105017744524,0.3681877860628609,0.0139541449557247,0.7360652510452728,0.2807544264139798,0.9976279989600254,0.6084220463406647,0.8867468072177138,0.1,68.67104959487915
58,0.8319696107963263,0.5830090612540064,0.0539020789312987,0.0339201542551876,0.5905359324981342,0.2898284736802407,0.9936500848175794,0.6968282358959492,0.927511172022961,0.1,68.58500027656555
59,0.571336004933722,0.8154147124661313,0.0539020789312987,0.1865979922627421,0.6906989189868981,0.3165537732917478,0.9846073429601264,0.6350521749084919,0.90687774299639,0.08,68.65974068641663
60,0.571336004933722,0.469506448503778,0.1548386665118475,0.0610582193940927,0.2142344670357661,0.1846360775451313,0.9915528221530376,0.8967596334404588,0.9290469528479044,0.03,68.15611290931702
